ID,Round1_Gaming,Round2_Gaming,Round3_Gaming,Round4_Gaming,Round5_Gaming,Round6_Gaming,Round7_Gaming,Round8_Gaming,Round9_Gaming,Round10_Gaming
03.1.3_C,Yes,Yes,Yes,,,,,,,
03.1.4_C,Yes,Yes,Yes,,,,,,,
03.1.5_C,Yes,Yes,Yes,,,,,,,
03.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
03.2.2_A,Yes,Yes,Yes,Yes,,,,,,
03.2.3_A,Yes,Yes,Yes,Yes,Yes,Yes,,,,
03.2.4_A,Yes,Yes,Yes,Yes,,,,,,
03.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
03.2.1_B,Yes,Yes,Yes,Yes,,,,,,
03.2.2_B,Yes,Yes,Yes,Yes,,,,,,
03.2.3_B,Yes,Yes,Yes,Yes,,,,,,
03.2.4_B,Yes,Yes,Yes,Yes,Yes,,,,,
03.2.5_B,Yes,Yes,Yes,Yes,Yes,Yes,,,,
03.2.1_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
03.2.2_C,Yes,Yes,Yes,Yes,,,,,,
03.2.3_C,Yes,Yes,Yes,Yes,Yes,,,,,
03.2.4_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
03.2.5_C,Yes,Yes,Yes,Yes,,,,,,
03.3.1_A,No,No,Yes,No,,,,,,
03.3.2_A,No,No,Yes,No,,,,,,
03.3.3_A,No,No,Yes,No,,,,,,
03.3.4_A,No,No,Yes,No,,,,,,
03.3.5_A,No,No,Yes,No,No,,,,,
03.3.1_B,No,No,Yes,No,,,,,,
03.3.2_B,No,No,Yes,No,,,,,,
03.3.3_B,No,No,Yes,No,,,,,,
03.3.4_B,No,No,Yes,No,,,,,,
03.3.5_B,No,No,Yes,No,,,,,,
03.3.1_C,No,No,Yes,No,,,,,,
03.3.2_C,No,No,Yes,No,,,,,,
03.3.3_C,No,No,Yes,No,,,,,,
03.3.4_C,No,No,Yes,No,No,,,,,
03.3.5_C,No,No,Yes,No,No,,,,,
03.4.1_A,No,No,Yes,Yes,Yes,,,,,
03.4.2_A,No,No,Yes,Yes,Yes,,,,,
03.4.3_A,No,No,Yes,Yes,Yes,,,,,
03.4.4_A,No,No,Yes,Yes,Yes,,,,,
03.4.5_A,No,No,Yes,Yes,Yes,,,,,
03.4.1_B,No,No,Yes,Yes,Yes,,,,,
03.4.2_B,No,No,Yes,Yes,Yes,,,,,
03.4.3_B,No,No,Yes,Yes,Yes,,,,,
03.4.4_B,No,No,Yes,Yes,Yes,,,,,
03.4.5_B,No,No,Yes,Yes,Yes,,,,,
03.4.1_C,No,No,Yes,Yes,Yes,Yes,,,,
03.4.2_C,No,No,Yes,Yes,Yes,,,,,
03.4.3_C,No,No,Yes,Yes,Yes,,,,,
03.4.4_C,No,No,Yes,Yes,Yes,,,,,
03.4.5_C,No,No,Yes,Yes,Yes,,,,,
05.1.1_A,Yes,Yes,Yes,,,,,,,
05.1.2_A,Yes,Yes,Yes,,,,,,,
05.1.3_A,Yes,,,,,,,,,
05.1.4_A,Yes,Yes,Yes,,,,,,,
05.1.5_A,Yes,Yes,Yes,,,,,,,
05.1.1_B,Yes,,,,,,,,,
05.1.2_B,Yes,Yes,Yes,,,,,,,
05.1.3_B,Yes,,,,,,,,,
05.1.4_B,Yes,Yes,Yes,,,,,,,
05.1.5_B,Yes,Yes,Yes,,,,,,,
05.1.1_C,Yes,Yes,Yes,,,,,,,
05.1.2_C,Yes,Yes,Yes,,,,,,,
05.1.3_C,Yes,Yes,Yes,,,,,,,
05.1.4_C,Yes,Yes,Yes,,,,,,,
05.1.5_C,Yes,Yes,Yes,,,,,,,
05.2.1_A,Yes,Yes,Yes,Yes,,,,,,
05.2.2_A,Yes,Yes,Yes,Yes,,,,,,
05.2.3_A,Yes,Yes,Yes,Yes,,,,,,
05.2.4_A,Yes,Yes,Yes,Yes,,,,,,
05.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.1_B,Yes,Yes,Yes,Yes,,,,,,
05.2.2_B,Yes,Yes,Yes,Yes,,,,,,
05.2.3_B,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.4_B,Yes,Yes,Yes,Yes,,,,,,
05.2.5_B,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.1_C,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.2_C,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.3_C,Yes,Yes,Yes,Yes,Yes,,,,,
05.2.4_C,Yes,Yes,Yes,Yes,,,,,,
05.2.5_C,Yes,Yes,Yes,Yes,,,,,,
05.3.1_A,No,No,Yes,No,,,,,,
05.3.2_A,No,No,Yes,No,,,,,,
05.3.3_A,No,No,Yes,No,No,,,,,
05.3.4_A,No,No,Yes,No,,,,,,
05.3.5_A,No,No,Yes,No,,,,,,
05.3.1_B,No,No,Yes,No,No,,,,,
05.3.2_B,No,No,Yes,No,,,,,,
05.3.3_B,No,No,Yes,No,,,,,,
05.3.4_B,No,No,Yes,No,,,,,,
05.3.5_B,No,No,Yes,No,No,,,,,
05.3.1_C,No,No,Yes,No,No,,,,,
05.3.2_C,No,No,Yes,No,,,,,,
05.3.3_C,No,No,Yes,No,,,,,,
05.3.4_C,No,No,Yes,No,No,,,,,
05.3.5_C,No,No,Yes,No,No,,,,,
05.4.1_A,No,No,Yes,Yes,Yes,,,,,
05.4.2_A,No,No,Yes,Yes,Yes,,,,,
05.4.3_A,No,No,Yes,Yes,Yes,,,,,
05.4.4_A,No,No,Yes,Yes,Yes,,,,,
05.4.5_A,No,No,Yes,Yes,Yes,,,,,
05.4.1_B,No,No,Yes,Yes,Yes,,,,,
05.4.2_B,No,No,Yes,Yes,Yes,,,,,
05.4.3_B,No,No,Yes,Yes,Yes,,,,,
05.4.4_B,No,No,Yes,Yes,Yes,,,,,
05.4.5_B,No,No,Yes,,,,,,,
05.4.1_C,No,No,Yes,Yes,Yes,,,,,
05.4.2_C,No,No,Yes,Yes,Yes,,,,,
05.4.3_C,No,No,Yes,Yes,Yes,,,,,
05.4.4_C,No,No,Yes,Yes,Yes,,,,,
05.4.5_C,No,No,Yes,Yes,Yes,,,,,
06.1.1_A,Yes,Yes,Yes,,,,,,,
06.1.2_A,Yes,Yes,Yes,,,,,,,
06.1.3_A,Yes,,,,,,,,,
06.1.4_A,Yes,Yes,Yes,,,,,,,
06.1.5_A,Yes,Yes,Yes,,,,,,,
06.1.1_B,Yes,Yes,Yes,,,,,,,
06.1.2_B,Yes,Yes,Yes,,,,,,,
06.1.3_B,Yes,Yes,Yes,,,,,,,
06.1.4_B,Yes,Yes,Yes,,,,,,,
06.1.5_B,Yes,Yes,Yes,,,,,,,
06.1.1_C,Yes,Yes,Yes,,,,,,,
06.1.2_C,Yes,Yes,Yes,,,,,,,
06.1.3_C,Yes,Yes,Yes,,,,,,,
06.1.4_C,Yes,Yes,Yes,,,,,,,
06.1.5_C,Yes,Yes,Yes,,,,,,,
06.2.1_A,Yes,Yes,Yes,Yes,,,,,,
06.2.2_A,Yes,Yes,Yes,Yes,,,,,,
06.2.3_A,Yes,Yes,Yes,Yes,Yes,Yes,,,,
06.2.4_A,Yes,Yes,Yes,Yes,,,,,,
06.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
06.2.1_B,Yes,Yes,Yes,Yes,Yes,,,,,
06.2.2_B,Yes,Yes,Yes,Yes,Yes,,,,,
06.2.3_B,Yes,Yes,Yes,Yes,,,,,,
06.2.4_B,Yes,Yes,Yes,Yes,,,,,,
06.2.5_B,Yes,Yes,Yes,Yes,,,,,,
06.2.1_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
06.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
06.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
06.2.4_C,Yes,Yes,Yes,Yes,Yes,,,,,
06.2.5_C,Yes,Yes,Yes,Yes,,,,,,
06.3.1_A,No,No,Yes,No,,,,,,
06.3.2_A,No,No,Yes,No,,,,,,
06.3.3_A,No,No,Yes,No,,,,,,
06.3.4_A,No,No,Yes,No,,,,,,
06.3.5_A,No,No,Yes,No,,,,,,
06.3.1_B,No,No,Yes,No,,,,,,
06.3.2_B,No,No,Yes,No,,,,,,
06.3.3_B,No,No,Yes,No,,,,,,
06.3.4_B,No,No,Yes,No,,,,,,
06.3.5_B,No,No,Yes,No,,,,,,
06.3.1_C,No,No,Yes,No,,,,,,
06.3.2_C,No,No,Yes,No,,,,,,
06.3.3_C,No,No,Yes,No,No,,,,,
06.3.4_C,No,No,Yes,No,No,,,,,
06.3.5_C,No,No,Yes,No,No,,,,,
06.4.1_A,No,No,Yes,Yes,,,,,,
06.4.2_A,No,No,Yes,Yes,Yes,,,,,
06.4.3_A,No,No,Yes,Yes,Yes,,,,,
06.4.4_A,No,No,Yes,Yes,Yes,,,,,
06.4.5_A,No,No,Yes,Yes,Yes,,,,,
06.4.1_B,No,No,Yes,Yes,,,,,,
06.4.2_B,No,No,Yes,Yes,Yes,,,,,
06.4.3_B,No,No,No,Yes,Yes,Yes,,,,
06.4.4_B,No,No,Yes,Yes,Yes,,,,,
06.4.5_B,No,No,Yes,Yes,,,,,,
06.4.1_C,No,No,Yes,Yes,Yes,,,,,
06.4.2_C,No,No,Yes,Yes,Yes,,,,,
06.4.3_C,No,No,Yes,Yes,Yes,,,,,
06.4.4_C,No,No,Yes,Yes,Yes,,,,,
06.4.5_C,No,No,Yes,Yes,Yes,,,,,
07.1.1_A,Yes,,,,,,,,,
07.1.2_A,Yes,Yes,Yes,,,,,,,
07.1.3_A,Yes,Yes,Yes,,,,,,,
07.1.4_A,Yes,Yes,Yes,,,,,,,
07.1.5_A,Yes,Yes,Yes,,,,,,,
07.1.1_B,Yes,Yes,Yes,,,,,,,
07.1.2_B,Yes,Yes,Yes,,,,,,,
07.1.3_B,Yes,Yes,Yes,,,,,,,
07.1.4_B,Yes,Yes,Yes,,,,,,,
07.1.5_B,Yes,Yes,,,,,,,,
07.1.1_C,Yes,Yes,Yes,,,,,,,
07.1.2_C,Yes,Yes,Yes,,,,,,,
07.1.3_C,Yes,Yes,Yes,,,,,,,
07.1.4_C,Yes,Yes,Yes,,,,,,,
07.1.5_C,Yes,Yes,Yes,,,,,,,
07.2.1_A,Yes,Yes,Yes,Yes,,,,,,
07.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
07.2.3_A,Yes,Yes,Yes,Yes,Yes,,,,,
07.2.4_A,Yes,Yes,Yes,Yes,Yes,,,,,
07.2.5_A,Yes,Yes,Yes,Yes,,,,,,
07.2.1_B,Yes,Yes,Yes,Yes,,,,,,
07.2.2_B,Yes,Yes,Yes,Yes,,,,,,
07.2.3_B,Yes,Yes,Yes,Yes,,,,,,
07.2.4_B,Yes,Yes,Yes,Yes,Yes,,,,,
07.2.5_B,Yes,Yes,Yes,Yes,,,,,,
07.2.1_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
07.2.2_C,Yes,Yes,Yes,Yes,Yes,Yes,,,,
07.2.3_C,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
07.2.4_C,Yes,Yes,Yes,Yes,Yes,,,,,
07.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
07.3.1_A,No,No,Yes,No,,,,,,
07.3.2_A,No,No,Yes,No,,,,,,
07.3.3_A,No,No,Yes,No,,,,,,
07.3.4_A,No,No,Yes,No,,,,,,
07.3.5_A,No,No,Yes,No,,,,,,
07.3.1_B,No,No,Yes,No,,,,,,
07.3.2_B,No,No,Yes,No,No,,,,,
07.3.3_B,No,No,Yes,No,No,,,,,
07.3.4_B,No,No,Yes,No,,,,,,
07.3.5_B,No,No,Yes,No,No,,,,,
07.3.1_C,No,No,Yes,No,No,,,,,
07.3.2_C,No,No,Yes,No,No,,,,,
07.3.3_C,No,No,Yes,No,,,,,,
07.3.4_C,No,No,Yes,No,,,,,,
07.3.5_C,No,No,Yes,No,,,,,,
07.4.1_A,No,No,Yes,Yes,Yes,,,,,
07.4.2_A,No,No,Yes,Yes,Yes,,,,,
07.4.3_A,No,No,Yes,Yes,Yes,,,,,
07.4.4_A,No,Yes,Yes,Yes,,,,,,
07.4.5_A,No,No,Yes,Yes,Yes,,,,,
07.4.1_B,No,No,Yes,Yes,Yes,,,,,
07.4.2_B,No,No,,,,,,,,
07.4.3_B,No,No,Yes,Yes,Yes,,,,,
07.4.4_B,No,No,Yes,Yes,Yes,,,,,
07.4.5_B,No,No,Yes,Yes,Yes,,,,,
07.4.1_C,No,No,Yes,Yes,Yes,,,,,
07.4.2_C,No,No,Yes,Yes,Yes,,,,,
07.4.3_C,No,No,Yes,Yes,Yes,,,,,
07.4.4_C,No,No,Yes,Yes,Yes,,,,,
07.4.5_C,No,No,Yes,Yes,Yes,,,,,
08.1.1_A,Yes,,,,,,,,,
08.1.2_A,Yes,Yes,Yes,,,,,,,
08.1.3_A,Yes,Yes,Yes,,,,,,,
08.1.4_A,Yes,Yes,Yes,,,,,,,
08.1.5_A,Yes,,,,,,,,,
08.1.1_B,Yes,Yes,Yes,,,,,,,
08.1.2_B,Yes,Yes,Yes,,,,,,,
08.1.3_B,Yes,Yes,Yes,,,,,,,
08.1.4_B,Yes,Yes,Yes,,,,,,,
08.1.5_B,Yes,Yes,Yes,,,,,,,
08.1.1_C,Yes,Yes,Yes,,,,,,,
08.1.2_C,Yes,Yes,Yes,,,,,,,
08.1.3_C,Yes,Yes,Yes,,,,,,,
08.1.4_C,Yes,Yes,Yes,,,,,,,
08.1.5_C,Yes,Yes,Yes,,,,,,,
08.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.3_A,Yes,Yes,Yes,Yes,,,,,,
08.2.4_A,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.1_B,Yes,Yes,Yes,Yes,,,,,,
08.2.2_B,Yes,Yes,Yes,Yes,,,,,,
08.2.3_B,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.4_B,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.5_B,Yes,Yes,Yes,Yes,Yes,Yes,,,,
08.2.1_C,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.2_C,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.3_C,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.4_C,Yes,Yes,Yes,Yes,Yes,,,,,
08.2.5_C,Yes,Yes,Yes,Yes,Yes,,,,,
08.3.1_A,No,No,Yes,No,,,,,,
08.3.2_A,No,No,Yes,No,No,,,,,
08.3.3_A,No,No,Yes,No,,,,,,
08.3.4_A,No,No,Yes,No,,,,,,
08.3.5_A,No,No,Yes,No,,,,,,
08.3.1_B,No,No,Yes,No,No,,,,,
08.3.2_B,No,No,Yes,No,,,,,,
08.3.3_B,No,No,Yes,No,,,,,,
08.3.4_B,No,No,Yes,No,No,,,,,
08.3.5_B,No,No,Yes,No,No,,,,,
08.3.1_C,No,No,Yes,No,,,,,,
08.3.2_C,No,No,Yes,No,No,,,,,
08.3.3_C,No,No,Yes,No,,,,,,
08.3.4_C,No,No,Yes,No,No,,,,,
08.3.5_C,No,No,Yes,No,No,,,,,
08.4.1_A,No,No,Yes,Yes,Yes,,,,,
08.4.2_A,No,No,Yes,Yes,Yes,,,,,
08.4.3_A,No,No,Yes,Yes,Yes,,,,,
08.4.4_A,No,No,Yes,Yes,Yes,,,,,
08.4.5_A,No,No,Yes,Yes,Yes,,,,,
08.4.1_B,No,No,Yes,Yes,Yes,,,,,
08.4.2_B,No,No,Yes,Yes,Yes,,,,,
08.4.3_B,No,No,Yes,Yes,Yes,,,,,
08.4.4_B,No,No,Yes,Yes,Yes,,,,,
08.4.5_B,No,No,Yes,Yes,Yes,,,,,
08.4.1_C,No,No,Yes,Yes,Yes,,,,,
08.4.2_C,No,No,Yes,Yes,Yes,,,,,
08.4.3_C,No,No,Yes,Yes,Yes,,,,,
08.4.4_C,No,No,Yes,Yes,Yes,,,,,
08.4.5_C,No,No,Yes,Yes,Yes,,,,,
09.1.1_A,Yes,Yes,Yes,,,,,,,
09.1.2_A,Yes,Yes,Yes,,,,,,,
09.1.3_A,Yes,Yes,Yes,,,,,,,
09.1.4_A,Yes,,,,,,,,,
09.1.5_A,Yes,Yes,Yes,,,,,,,
09.1.1_B,Yes,Yes,,,,,,,,
09.1.2_B,Yes,Yes,Yes,,,,,,,
09.1.3_B,Yes,Yes,Yes,,,,,,,
09.1.4_B,Yes,Yes,Yes,,,,,,,
09.1.5_B,Yes,Yes,Yes,,,,,,,
09.1.1_C,Yes,Yes,Yes,,,,,,,
09.1.2_C,Yes,Yes,Yes,,,,,,,
09.1.3_C,Yes,Yes,Yes,,,,,,,
09.1.4_C,Yes,Yes,Yes,,,,,,,
09.1.5_C,Yes,Yes,Yes,,,,,,,
09.2.1_A,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.2_A,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.3_A,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.4_A,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.5_A,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.1_B,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.2_B,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.3_B,Yes,Yes,Yes,Yes,,,,,,
09.2.4_B,Yes,Yes,Yes,Yes,,,,,,
09.2.5_B,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.1_C,Yes,Yes,Yes,Yes,,,,,,
09.2.2_C,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.3_C,Yes,Yes,Yes,Yes,,,,,,
09.2.4_C,Yes,Yes,Yes,Yes,Yes,,,,,
09.2.5_C,Yes,Yes,Yes,Yes,,,,,,
09.3.1_A,No,No,Yes,No,,,,,,
09.3.2_A,No,No,Yes,No,,,,,,
09.3.3_A,No,No,Yes,No,,,,,,
09.3.4_A,No,No,Yes,No,,,,,,
09.3.5_A,No,No,Yes,No,,,,,,
09.3.1_B,No,No,Yes,No,,,,,,
09.3.2_B,No,No,Yes,No,,,,,,
09.3.3_B,No,No,Yes,No,,,,,,
09.3.4_B,No,No,Yes,No,,,,,,
09.3.5_B,No,No,Yes,No,,,,,,
09.3.1_C,No,No,Yes,No,,,,,,
09.3.2_C,No,No,Yes,No,,,,,,
09.3.3_C,No,No,Yes,No,No,,,,,
09.3.4_C,No,No,Yes,No,No,,,,,
09.3.5_C,No,No,Yes,No,No,,,,,
09.4.1_A,No,No,Yes,Yes,Yes,,,,,
09.4.2_A,No,No,Yes,Yes,Yes,,,,,
09.4.3_A,No,No,Yes,Yes,Yes,,,,,
09.4.4_A,No,Yes,Yes,Yes,,,,,,
09.4.5_A,No,No,Yes,Yes,Yes,,,,,
09.4.1_B,No,No,Yes,Yes,Yes,,,,,
09.4.2_B,No,No,Yes,Yes,,,,,,
09.4.3_B,No,No,Yes,Yes,Yes,,,,,
09.4.4_B,No,Yes,Yes,Yes,,,,,,
09.4.5_B,No,No,Yes,Yes,Yes,,,,,
09.4.1_C,No,No,Yes,Yes,Yes,,,,,
09.4.2_C,No,No,Yes,Yes,Yes,,,,,
09.4.3_C,No,No,Yes,Yes,Yes,,,,,
09.4.4_C,No,No,Yes,Yes,Yes,,,,,
09.4.5_C,No,No,Yes,Yes,Yes,,,,,
10.1.1_A,Yes,Yes,Yes,,,,,,,
10.1.2_A,Yes,,,,,,,,,
10.1.3_A,Yes,Yes,Yes,,,,,,,
10.1.4_A,Yes,Yes,Yes,,,,,,,
10.1.5_A,Yes,,,,,,,,,
10.1.1_B,Yes,Yes,Yes,,,,,,,
10.1.2_B,Yes,Yes,Yes,,,,,,,
10.1.3_B,Yes,Yes,Yes,,,,,,,
10.1.4_B,Yes,Yes,Yes,,,,,,,
10.1.5_B,Yes,Yes,Yes,,,,,,,
10.1.1_C,Yes,Yes,Yes,,,,,,,
10.1.2_C,Yes,Yes,Yes,,,,,,,
10.1.3_C,Yes,Yes,Yes,,,,,,,
10.1.4_C,Yes,Yes,Yes,,,,,,,
