================================================================================
GAMING ACCURACY REPORT FOR CATEGORY 07
================================================================================

OVERALL GAMING ACCURACY FOR CATEGORY 07:
--------------------------------------------------------------------------------
Gaming:         98.01% (246/251 correct)

BREAKDOWN BY SUFFIX (_A, _B, _C):
================================================================================

Suffix _A:
  Gaming:         96.25% (77/80)

Suffix _B:
  Gaming:         97.50% (78/80)

Suffix _C:
  Gaming:        100.00% (91/91)

BREAKDOWN BY PATTERN:
--------------------------------------------------------------------------------

Pattern .1.:
  Gaming:        100.00% (42/42)

Pattern .2.:
  Gaming:        100.00% (73/73)

Pattern .3.:
  Gaming:         92.31% (60/65)

Pattern .4.:
  Gaming:        100.00% (71/71)

BREAKDOWN BY PATTERN AND SUFFIX COMBINED:
================================================================================

Pattern .1.:
----------------------------------------
  _A: Gaming 100.00% (13/13)
  _B: Gaming 100.00% (14/14)
  _C: Gaming 100.00% (15/15)

Pattern .2.:
----------------------------------------
  _A: Gaming 100.00% (23/23)
  _B: Gaming 100.00% (21/21)
  _C: Gaming 100.00% (29/29)

Pattern .3.:
----------------------------------------
  _A: Gaming  85.00% (17/20)
  _B: Gaming  91.30% (21/23)
  _C: Gaming 100.00% (22/22)

Pattern .4.:
----------------------------------------
  _A: Gaming 100.00% (24/24)
  _B: Gaming 100.00% (22/22)
  _C: Gaming 100.00% (25/25)

ACCURACY BY ROUND:
--------------------------------------------------------------------------------
Round  1:  98.33% (59/60)
Round  2:  98.31% (58/59)
Round  3: 100.00% (57/57)
Round  4:  95.45% (42/44)
Round  5:  96.30% (26/27)
Round  6: 100.00% (3/3)
Round  7: 100.00% (1/1)

DETAILED ITEM-BY-ITEM COMPARISON (GROUPED BY SUFFIX):
================================================================================

SUFFIX _A:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
07.1.2_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.3_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.4_B        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.5_B        Y   Y   -   -   -   -   -   -   -   -   PERFECT
07.2.1_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.2.2_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.2.3_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.2.4_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.2.5_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.3.1_B        Y   Y   Y   N   -   -   -   -   -   -   MISMATCH
07.3.2_B        Y   Y   Y   Y   N   -   -   -   -   -   MISMATCH
07.3.3_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.3.4_B        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.3.5_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.1_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.2_B        Y   Y   -   -   -   -   -   -   -   -   PERFECT
07.4.3_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.4_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.5_B        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

SUFFIX _C:
ID              R1   R2   R3   R4   R5   R6   R7   R8   R9   R10  Status
--------------------------------------------------------------------------------
07.1.1_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.2_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.3_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.4_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.1.5_C        Y   Y   Y   -   -   -   -   -   -   -   PERFECT
07.2.1_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
07.2.2_C        Y   Y   Y   Y   Y   Y   -   -   -   -   PERFECT
07.2.3_C        Y   Y   Y   Y   Y   Y   Y   -   -   -   PERFECT
07.2.4_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.2.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.3.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.3.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.3.3_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.3.4_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.3.5_C        Y   Y   Y   Y   -   -   -   -   -   -   PERFECT
07.4.1_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.2_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.3_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.4_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT
07.4.5_C        Y   Y   Y   Y   Y   -   -   -   -   -   PERFECT

MISMATCH SUMMARY:
================================================================================
Total gaming mismatches: 5

MISMATCH DETAILS:
--------------------------------------------------------------------------------
ID              Round    Truth      Predicted 
--------------------------------------------------------------------------------
07.3.1_B        4        No         Yes       
07.3.2_B        5        No         Yes       
07.3.3_A        1        No         Yes       
07.3.3_A        2        No         Yes       
07.3.3_A        4        No         Yes       

