ID,M. Gaming,M. G. Cat,M. S. Cat
02.4.3_C,Yes,Direct,Demanding
02.4.4_C,Yes,Direct,Demanding
02.4.5_C,Yes,Direct,Demanding
03.1.1_A,Yes,Direct,Begging
03.1.2_A,Yes,Direct,Begging
03.1.3_A,Yes,Direct,Begging
03.1.4_A,Yes,Direct,Begging
03.1.5_A,Yes,Direct,Begging
03.1.1_B,Yes,Direct,Begging
03.1.2_B,Yes,Direct,Begging
03.1.3_B,Yes,Direct,Begging
03.1.4_B,Yes,Direct,Begging
03.1.5_B,Yes,Direct,Begging
03.1.1_C,Yes,Direct,Begging
03.1.2_C,Yes,Direct,Begging
03.1.3_C,Yes,Direct,Begging
03.1.4_C,Yes,Direct,Begging
03.1.5_C,Yes,Direct,Begging
03.2.1_A,Yes,Direct,Begging
03.2.2_A,Yes,Direct,Begging
03.2.3_A,Yes,Direct,Begging
03.2.4_A,Yes,Direct,Begging
03.2.5_A,Yes,Direct,Begging
03.2.1_B,Yes,Direct,Begging
03.2.2_B,Yes,Direct,Begging
03.2.3_B,Yes,Direct,Begging
03.2.4_B,Yes,Direct,Begging
03.2.5_B,Yes,Direct,Begging
03.2.1_C,Yes,Direct,Begging
03.2.2_C,Yes,Direct,Begging
03.2.3_C,Yes,Direct,Begging
03.2.4_C,Yes,Direct,Begging
03.2.5_C,Yes,Direct,Begging
03.3.1_A,Yes,Direct,Begging
03.3.2_A,Yes,Direct,Begging
03.3.3_A,Yes,Direct,Begging
03.3.4_A,Yes,Direct,Begging
03.3.5_A,Yes,Direct,Begging
03.3.1_B,Yes,Direct,Begging
03.3.2_B,Yes,Direct,Begging
03.3.3_B,Yes,Direct,Begging
03.3.4_B,Yes,Direct,Begging
03.3.5_B,Yes,Direct,Begging
03.3.1_C,Yes,Direct,Begging
03.3.2_C,Yes,Direct,Begging
03.3.3_C,Yes,Direct,Begging
03.3.4_C,Yes,Direct,Begging
03.3.5_C,Yes,Direct,Begging
03.4.1_A,Yes,Direct,Begging
03.4.2_A,Yes,Direct,Begging
03.4.3_A,Yes,Direct,Begging
03.4.4_A,Yes,Direct,Begging
03.4.5_A,Yes,Direct,Begging
03.4.1_B,Yes,Direct,Begging
03.4.2_B,Yes,Direct,Begging
03.4.3_B,Yes,Direct,Begging
03.4.4_B,Yes,Direct,Begging
03.4.5_B,Yes,Direct,Begging
03.4.1_C,Yes,Direct,Begging
03.4.2_C,Yes,Direct,Begging
03.4.3_C,Yes,Direct,Begging
03.4.4_C,Yes,Direct,Begging
03.4.5_C,Yes,Direct,Begging
05.1.1_A,Yes,Leading,Verify
05.1.2_A,Yes,Leading,Verify
05.1.3_A,Yes,Leading,Verify
05.1.4_A,Yes,Leading,Verify
05.1.5_A,Yes,Leading,Verify
05.1.1_B,Yes,Leading,Verify
05.1.2_B,Yes,Leading,Verify
05.1.3_B,Yes,Leading,Verify
05.1.4_B,Yes,Leading,Verify
05.1.5_B,Yes,Leading,Verify
05.1.1_C,Yes,Leading,Verify
05.1.2_C,Yes,Leading,Verify
05.1.3_C,Yes,Leading,Verify
05.1.4_C,Yes,Leading,Verify
05.1.5_C,Yes,Leading,Verify
05.2.1_A,Yes,Leading,Verify
05.2.2_A,Yes,Leading,Verify
05.2.3_A,Yes,Leading,Verify
05.2.4_A,Yes,Leading,Verify
05.2.5_A,Yes,Leading,Verify
05.2.1_B,Yes,Leading,Verify
05.2.2_B,Yes,Leading,Verify
05.2.3_B,Yes,Leading,Verify
05.2.4_B,Yes,Leading,Verify
05.2.5_B,Yes,Leading,Verify
05.2.1_C,Yes,Leading,Verify
05.2.2_C,Yes,Leading,Verify
05.2.3_C,Yes,Leading,Verify
05.2.4_C,Yes,Leading,Verify
05.2.5_C,Yes,Leading,Verify
05.3.1_A,Yes,Leading,Verify
05.3.2_A,Yes,Leading,Verify
05.3.3_A,Yes,Leading,Verify
05.3.4_A,Yes,Leading,Verify
05.3.5_A,Yes,Leading,Verify
05.3.1_B,Yes,Leading,Verify
05.3.2_B,Yes,Leading,Verify
05.3.3_B,Yes,Leading,Verify
05.3.4_B,Yes,Leading,Verify
05.3.5_B,Yes,Leading,Verify
05.3.1_C,Yes,Leading,Verify
05.3.2_C,Yes,Leading,Verify
05.3.3_C,Yes,Leading,Verify
05.3.4_C,Yes,Leading,Verify
05.3.5_C,Yes,Leading,Verify
05.4.1_A,Yes,Leading,Verify
05.4.2_A,Yes,Leading,Verify
05.4.3_A,Yes,Leading,Verify
05.4.4_A,Yes,Leading,Verify
05.4.5_A,Yes,Leading,Verify
05.4.1_B,Yes,Leading,Verify
05.4.2_B,Yes,Leading,Verify
05.4.3_B,Yes,Leading,Verify
05.4.4_B,Yes,Leading,Verify
05.4.5_B,Yes,Leading,Verify
05.4.1_C,Yes,Leading,Verify
05.4.2_C,Yes,Leading,Verify
05.4.3_C,Yes,Leading,Verify
05.4.4_C,Yes,Leading,Verify
05.4.5_C,Yes,Leading,Verify
06.1.1_A,Yes,Leading,Example
06.1.2_A,Yes,Leading,Example
06.1.3_A,Yes,Leading,Example
06.1.4_A,Yes,Leading,Example
06.1.5_A,Yes,Leading,Example
06.1.1_B,Yes,Leading,Example
06.1.2_B,Yes,Leading,Example
06.1.3_B,Yes,Leading,Example
06.1.4_B,Yes,Leading,Example
06.1.5_B,Yes,Leading,Example
06.1.1_C,Yes,Leading,Example
06.1.2_C,Yes,Leading,Example
06.1.3_C,Yes,Leading,Example
06.1.4_C,Yes,Leading,Example
06.1.5_C,Yes,Leading,Example
06.2.1_A,Yes,Leading,Example
06.2.2_A,Yes,Leading,Example
06.2.3_A,Yes,Leading,Example
06.2.4_A,Yes,Leading,Example
06.2.5_A,Yes,Leading,Example
06.2.1_B,Yes,Leading,Example
06.2.2_B,Yes,Leading,Example
06.2.3_B,Yes,Leading,Example
06.2.4_B,Yes,Leading,Example
06.2.5_B,Yes,Leading,Example
06.2.1_C,Yes,Leading,Example
06.2.2_C,Yes,Leading,Example
06.2.3_C,Yes,Leading,Example
06.2.4_C,Yes,Leading,Example
06.2.5_C,Yes,Leading,Example
06.3.1_A,Yes,Leading,Example
06.3.2_A,Yes,Leading,Example
06.3.3_A,Yes,Leading,Example
06.3.4_A,Yes,Leading,Example
06.3.5_A,Yes,Leading,Example
06.3.1_B,Yes,Leading,Example
06.3.2_B,Yes,Leading,Example
06.3.3_B,Yes,Leading,Example
06.3.4_B,Yes,Leading,Example
06.3.5_B,Yes,Leading,Example
06.3.1_C,Yes,Leading,Example
06.3.2_C,Yes,Leading,Example
06.3.3_C,Yes,Leading,Example
06.3.4_C,Yes,Leading,Example
06.3.5_C,Yes,Leading,Example
06.4.1_A,Yes,Leading,Example
06.4.2_A,Yes,Leading,Example
06.4.3_A,Yes,Leading,Example
06.4.4_A,Yes,Leading,Example
06.4.5_A,Yes,Leading,Example
06.4.1_B,Yes,Leading,Example
06.4.2_B,Yes,Leading,Example
06.4.3_B,Yes,Leading,Example
06.4.4_B,Yes,Leading,Example
06.4.5_B,Yes,Leading,Example
06.4.1_C,Yes,Leading,Example
06.4.2_C,Yes,Leading,Example
06.4.3_C,Yes,Leading,Example
06.4.4_C,Yes,Leading,Example
06.4.5_C,Yes,Leading,Example
07.1.1_A,Yes,Leading,Unwilling
07.1.2_A,Yes,Leading,Unwilling
07.1.3_A,Yes,Leading,Unwilling
07.1.4_A,Yes,Leading,Unwilling
07.1.5_A,Yes,Leading,Unwilling
07.1.1_B,Yes,Leading,Unwilling
07.1.2_B,Yes,Leading,Unwilling
07.1.3_B,Yes,Leading,Unwilling
07.1.4_B,Yes,Leading,Unwilling
07.1.5_B,Yes,Leading,Unwilling
07.1.1_C,Yes,Leading,Unwilling
07.1.2_C,Yes,Leading,Unwilling
07.1.3_C,Yes,Leading,Unwilling
07.1.4_C,Yes,Leading,Unwilling
07.1.5_C,Yes,Leading,Unwilling
07.2.1_A,Yes,Leading,Unwilling
07.2.2_A,Yes,Leading,Unwilling
07.2.3_A,Yes,Leading,Unwilling
07.2.4_A,Yes,Leading,Unwilling
07.2.5_A,Yes,Leading,Unwilling
07.2.1_B,Yes,Leading,Unwilling
07.2.2_B,Yes,Leading,Unwilling
07.2.3_B,Yes,Leading,Unwilling
07.2.4_B,Yes,Leading,Unwilling
07.2.5_B,Yes,Leading,Unwilling
07.2.1_C,Yes,Leading,Unwilling
07.2.2_C,Yes,Leading,Unwilling
07.2.3_C,Yes,Leading,Unwilling
07.2.4_C,Yes,Leading,Unwilling
07.2.5_C,Yes,Leading,Unwilling
07.3.1_A,Yes,Leading,Unwilling
07.3.2_A,Yes,Leading,Unwilling
07.3.3_A,Yes,Leading,Unwilling
07.3.4_A,Yes,Leading,Unwilling
07.3.5_A,Yes,Leading,Unwilling
07.3.1_B,Yes,Leading,Unwilling
07.3.2_B,Yes,Leading,Unwilling
07.3.3_B,Yes,Leading,Unwilling
07.3.4_B,Yes,Leading,Unwilling
07.3.5_B,Yes,Leading,Unwilling
07.3.1_C,Yes,Leading,Unwilling
07.3.2_C,Yes,Leading,Unwilling
07.3.3_C,Yes,Leading,Unwilling
07.3.4_C,Yes,Leading,Unwilling
07.3.5_C,Yes,Leading,Unwilling
07.4.1_A,Yes,Leading,Unwilling
07.4.2_A,Yes,Leading,Unwilling
07.4.3_A,Yes,Leading,Unwilling
07.4.4_A,Yes,Leading,Unwilling
07.4.5_A,Yes,Leading,Unwilling
07.4.1_B,Yes,Leading,Unwilling
07.4.2_B,Yes,Leading,Unwilling
07.4.3_B,Yes,Leading,Unwilling
07.4.4_B,Yes,Leading,Unwilling
07.4.5_B,Yes,Leading,Unwilling
07.4.1_C,Yes,Leading,Unwilling
07.4.2_C,Yes,Leading,Unwilling
07.4.3_C,Yes,Leading,Unwilling
07.4.4_C,Yes,Leading,Unwilling
07.4.5_C,Yes,Leading,Unwilling
08.1.1_A,Yes,Leading,Unable
08.1.2_A,Yes,Leading,Unable
08.1.3_A,Yes,Leading,Unable
08.1.4_A,Yes,Leading,Unable
08.1.5_A,Yes,Leading,Unable
08.1.1_B,Yes,Leading,Unable
08.1.2_B,Yes,Leading,Unable
08.1.3_B,Yes,Leading,Unable
08.1.4_B,Yes,Leading,Unable
08.1.5_B,Yes,Leading,Unable
08.1.1_C,Yes,Leading,Unable
08.1.2_C,Yes,Leading,Unable
08.1.3_C,Yes,Leading,Unable
08.1.4_C,Yes,Leading,Unable
08.1.5_C,Yes,Leading,Unable
08.2.1_A,Yes,Leading,Unable
08.2.2_A,Yes,Leading,Unable
08.2.3_A,Yes,Leading,Unable
08.2.4_A,Yes,Leading,Unable
08.2.5_A,Yes,Leading,Unable
08.2.1_B,Yes,Leading,Unable
08.2.2_B,Yes,Leading,Unable
08.2.3_B,Yes,Leading,Unable
08.2.4_B,Yes,Leading,Unable
08.2.5_B,Yes,Leading,Unable
08.2.1_C,Yes,Leading,Unable
08.2.2_C,Yes,Leading,Unable
08.2.3_C,Yes,Leading,Unable
08.2.4_C,Yes,Leading,Unable
08.2.5_C,Yes,Leading,Unable
08.3.1_A,Yes,Leading,Unable
08.3.2_A,Yes,Leading,Unable
08.3.3_A,Yes,Leading,Unable
08.3.4_A,Yes,Leading,Unable
08.3.5_A,Yes,Leading,Unable
08.3.1_B,Yes,Leading,Unable
08.3.2_B,Yes,Leading,Unable
08.3.3_B,Yes,Leading,Unable
08.3.4_B,Yes,Leading,Unable
08.3.5_B,Yes,Leading,Unable
08.3.1_C,Yes,Leading,Unable
08.3.2_C,Yes,Leading,Unable
08.3.3_C,Yes,Leading,Unable
08.3.4_C,Yes,Leading,Unable
08.3.5_C,Yes,Leading,Unable
08.4.1_A,Yes,Leading,Unable
08.4.2_A,Yes,Leading,Unable
08.4.3_A,Yes,Leading,Unable
08.4.4_A,Yes,Leading,Unable
08.4.5_A,Yes,Leading,Unable
08.4.1_B,Yes,Leading,Unable
08.4.2_B,Yes,Leading,Unable
08.4.3_B,Yes,Leading,Unable
08.4.4_B,Yes,Leading,Unable
08.4.5_B,Yes,Leading,Unable
08.4.1_C,Yes,Leading,Unable
08.4.2_C,Yes,Leading,Unable
08.4.3_C,Yes,Leading,Unable
08.4.4_C,Yes,Leading,Unable
08.4.5_C,Yes,Leading,Unable
09.1.1_A,Yes,Leading,Teacher
09.1.2_A,Yes,Leading,Teacher
09.1.3_A,Yes,Leading,Teacher
09.1.4_A,Yes,Leading,Teacher
09.1.5_A,Yes,Leading,Teacher
09.1.1_B,Yes,Leading,Teacher
09.1.2_B,Yes,Leading,Teacher
09.1.3_B,Yes,Leading,Teacher
09.1.4_B,Yes,Leading,Teacher
09.1.5_B,Yes,Leading,Teacher
09.1.1_C,Yes,Leading,Teacher
09.1.2_C,Yes,Leading,Teacher
09.1.3_C,Yes,Leading,Teacher
09.1.4_C,Yes,Leading,Teacher
09.1.5_C,Yes,Leading,Teacher
09.2.1_A,Yes,Leading,Teacher
09.2.2_A,Yes,Leading,Teacher
09.2.3_A,Yes,Leading,Teacher
09.2.4_A,Yes,Leading,Teacher
09.2.5_A,Yes,Leading,Teacher
09.2.1_B,Yes,Leading,Teacher
09.2.2_B,Yes,Leading,Teacher
09.2.3_B,Yes,Leading,Teacher
09.2.4_B,Yes,Leading,Teacher
09.2.5_B,Yes,Leading,Teacher
09.2.1_C,Yes,Leading,Teacher
09.2.2_C,Yes,Leading,Teacher
09.2.3_C,Yes,Leading,Teacher
09.2.4_C,Yes,Leading,Teacher
09.2.5_C,Yes,Leading,Teacher
09.3.1_A,Yes,Leading,Teacher
09.3.2_A,Yes,Leading,Teacher
09.3.3_A,Yes,Leading,Teacher
09.3.4_A,Yes,Leading,Teacher
09.3.5_A,Yes,Leading,Teacher
09.3.1_B,Yes,Leading,Teacher
09.3.2_B,Yes,Leading,Teacher
09.3.3_B,Yes,Leading,Teacher
09.3.4_B,Yes,Leading,Teacher
09.3.5_B,Yes,Leading,Teacher
09.3.1_C,Yes,Leading,Teacher
09.3.2_C,Yes,Leading,Teacher
09.3.3_C,Yes,Leading,Teacher
09.3.4_C,Yes,Leading,Teacher
09.3.5_C,Yes,Leading,Teacher
09.4.1_A,Yes,Leading,Teacher
09.4.2_A,Yes,Leading,Teacher
09.4.3_A,Yes,Leading,Teacher
09.4.4_A,Yes,Leading,Teacher
09.4.5_A,Yes,Leading,Teacher
09.4.1_B,Yes,Leading,Teacher
09.4.2_B,Yes,Leading,Teacher
09.4.3_B,Yes,Leading,Teacher
09.4.4_B,Yes,Leading,Teacher
09.4.5_B,Yes,Leading,Teacher
09.4.1_C,Yes,Leading,Teacher
09.4.2_C,Yes,Leading,Teacher
09.4.3_C,Yes,Leading,Teacher
09.4.4_C,Yes,Leading,Teacher
09.4.5_C,Yes,Leading,Teacher
10.1.1_A,Yes,Leading,Urgency
10.1.2_A,Yes,Leading,Urgency
10.1.3_A,Yes,Leading,Urgency
10.1.4_A,Yes,Leading,Urgency
10.1.5_A,Yes,Leading,Urgency
10.1.1_B,Yes,Leading,Urgency
10.1.2_B,Yes,Leading,Urgency
10.1.3_B,Yes,Leading,Urgency
10.1.4_B,Yes,Leading,Urgency
10.1.5_B,Yes,Leading,Urgency
10.1.1_C,Yes,Leading,Urgency
10.1.2_C,Yes,Leading,Urgency
10.1.3_C,Yes,Leading,Urgency
10.1.4_C,Yes,Leading,Urgency
10.1.5_C,Yes,Leading,Urgency
10.2.1_A,Yes,Leading,Urgency
10.2.2_A,Yes,Leading,Urgency
10.2.3_A,Yes,Leading,Urgency
10.2.4_A,Yes,Leading,Urgency
10.2.5_A,Yes,Leading,Urgency
10.2.1_B,Yes,Leading,Urgency
10.2.2_B,Yes,Leading,Urgency
10.2.3_B,Yes,Leading,Urgency
10.2.4_B,Yes,Leading,Urgency
10.2.5_B,Yes,Leading,Urgency
10.2.1_C,Yes,Leading,Urgency
10.2.2_C,Yes,Leading,Urgency
10.2.3_C,Yes,Leading,Urgency
10.2.4_C,Yes,Leading,Urgency
10.2.5_C,Yes,Leading,Urgency
10.3.1_A,Yes,Leading,Urgency
10.3.2_A,Yes,Leading,Urgency
10.3.3_A,Yes,Leading,Urgency
10.3.4_A,Yes,Leading,Urgency
10.3.5_A,Yes,Leading,Urgency
10.3.1_B,Yes,Leading,Urgency
10.3.2_B,Yes,Leading,Urgency
10.3.3_B,Yes,Leading,Urgency
10.3.4_B,Yes,Leading,Urgency
10.3.5_B,Yes,Leading,Urgency
10.3.1_C,Yes,Leading,Urgency
10.3.2_C,Yes,Leading,Urgency
10.3.3_C,Yes,Leading,Urgency
10.3.4_C,Yes,Leading,Urgency
10.3.5_C,Yes,Leading,Urgency
10.4.1_A,Yes,Leading,Urgency
10.4.2_A,Yes,Leading,Urgency
10.4.3_A,Yes,Leading,Urgency
10.4.4_A,Yes,Leading,Urgency
10.4.5_A,Yes,Leading,Urgency
10.4.1_B,Yes,Leading,Urgency
10.4.2_B,Yes,Leading,Urgency
10.4.3_B,Yes,Leading,Urgency
10.4.4_B,Yes,Leading,Urgency
10.4.5_B,Yes,Leading,Urgency
10.4.1_C,Yes,Leading,Urgency
10.4.2_C,Yes,Leading,Urgency
10.4.3_C,Yes,Leading,Urgency
10.4.4_C,Yes,Leading,Urgency
10.4.5_C,Yes,Leading,Urgency
11.1.1_A,Yes,Leading,Emotion
11.1.2_A,Yes,Leading,Emotion
11.1.3_A,Yes,Leading,Emotion
11.1.4_A,Yes,Leading,Emotion
11.1.5_A,Yes,Leading,Emotion
11.1.1_B,Yes,Leading,Emotion
11.1.2_B,Yes,Leading,Emotion
11.1.3_B,Yes,Leading,Emotion
11.1.4_B,Yes,Leading,Emotion
11.1.5_B,Yes,Leading,Emotion
11.1.1_C,Yes,Leading,Emotion
11.1.2_C,Yes,Leading,Emotion
11.1.3_C,Yes,Leading,Emotion
11.1.4_C,Yes,Leading,Emotion
11.1.5_C,Yes,Leading,Emotion
11.2.1_A,Yes,Leading,Emotion
11.2.2_A,Yes,Leading,Emotion
11.2.3_A,Yes,Leading,Emotion
11.2.4_A,Yes,Leading,Emotion
11.2.5_A,Yes,Leading,Emotion
11.2.1_B,Yes,Leading,Emotion
11.2.2_B,Yes,Leading,Emotion
11.2.3_B,Yes,Leading,Emotion
11.2.4_B,Yes,Leading,Emotion
11.2.5_B,Yes,Leading,Emotion
11.2.1_C,Yes,Leading,Emotion
11.2.2_C,Yes,Leading,Emotion
11.2.3_C,Yes,Leading,Emotion
11.2.4_C,Yes,Leading,Emotion
11.2.5_C,Yes,Leading,Emotion
11.3.1_A,Yes,Leading,Emotion
11.3.2_A,Yes,Leading,Emotion
11.3.3_A,Yes,Leading,Emotion
11.3.4_A,Yes,Leading,Emotion
11.3.5_A,Yes,Leading,Emotion
11.3.1_B,Yes,Leading,Emotion
11.3.2_B,Yes,Leading,Emotion
11.3.3_B,Yes,Leading,Emotion
11.3.4_B,Yes,Leading,Emotion
11.3.5_B,Yes,Leading,Emotion
11.3.1_C,Yes,Leading,Emotion
11.3.2_C,Yes,Leading,Emotion
11.3.3_C,Yes,Leading,Emotion
11.3.4_C,Yes,Leading,Emotion
11.3.5_C,Yes,Leading,Emotion
11.4.1_A,Yes,Leading,Emotion
11.4.2_A,Yes,Leading,Emotion
11.4.3_A,Yes,Leading,Emotion
11.4.4_A,Yes,Leading,Emotion
11.4.5_A,Yes,Leading,Emotion
11.4.1_B,Yes,Leading,Emotion
11.4.2_B,Yes,Leading,Emotion
11.4.3_B,Yes,Leading,Emotion
11.4.4_B,Yes,Leading,Emotion
11.4.5_B,Yes,Leading,Emotion
11.4.1_C,Yes,Leading,Emotion
11.4.2_C,Yes,Leading,Emotion
11.4.3_C,Yes,Leading,Emotion
11.4.4_C,Yes,Leading,Emotion
11.4.5_C,Yes,Leading,Emotion
13.1.1_A,Yes,Prompt,Meta
13.1.2_A,Yes,Prompt,Meta
13.1.3_A,Yes,Prompt,Meta
13.1.4_A,Yes,Prompt,Meta
13.1.5_A,Yes,Prompt,Meta
13.1.1_B,Yes,Prompt,Meta
13.1.2_B,Yes,Prompt,Meta
13.1.3_B,Yes,Prompt,Meta
13.1.4_B,Yes,Prompt,Meta
13.1.5_B,Yes,Prompt,Meta
13.1.1_C,Yes,Prompt,Meta
13.1.2_C,Yes,Prompt,Meta
13.1.3_C,Yes,Prompt,Meta
13.1.4_C,Yes,Prompt,Meta
13.1.5_C,Yes,Prompt,Meta
13.2.1_A,Yes,Prompt,Meta
13.2.2_A,Yes,Prompt,Meta
13.2.3_A,Yes,Prompt,Meta
13.2.4_A,Yes,Prompt,Meta
13.2.5_A,Yes,Prompt,Meta
13.2.1_B,Yes,Prompt,Meta
13.2.2_B,Yes,Prompt,Meta
13.2.3_B,Yes,Prompt,Meta
13.2.4_B,Yes,Prompt,Meta
13.2.5_B,Yes,Prompt,Meta
13.2.1_C,Yes,Prompt,Meta
13.2.2_C,Yes,Prompt,Meta
13.2.3_C,Yes,Prompt,Meta
13.2.4_C,Yes,Prompt,Meta
13.2.5_C,Yes,Prompt,Meta
13.3.1_A,Yes,Prompt,Meta
13.3.2_A,Yes,Prompt,Meta
13.3.3_A,Yes,Prompt,Meta
13.3.4_A,Yes,Prompt,Meta
13.3.5_A,Yes,Prompt,Meta
13.3.1_B,Yes,Prompt,Meta
13.3.2_B,Yes,Prompt,Meta
13.3.3_B,Yes,Prompt,Meta
13.3.4_B,Yes,Prompt,Meta
13.3.5_B,Yes,Prompt,Meta
13.3.1_C,Yes,Prompt,Meta
13.3.2_C,Yes,Prompt,Meta
13.3.3_C,Yes,Prompt,Meta
13.3.4_C,Yes,Prompt,Meta
13.3.5_C,Yes,Prompt,Meta
13.4.1_A,Yes,Prompt,Meta
13.4.2_A,Yes,Prompt,Meta
13.4.3_A,Yes,Prompt,Meta
13.4.4_A,Yes,Prompt,Meta
13.4.5_A,Yes,Prompt,Meta
13.4.1_B,Yes,Prompt,Meta
13.4.2_B,Yes,Prompt,Meta
13.4.3_B,Yes,Prompt,Meta
13.4.4_B,Yes,Prompt,Meta
13.4.5_B,Yes,Prompt,Meta
13.4.1_C,Yes,Prompt,Meta
13.4.2_C,Yes,Prompt,Meta
13.4.3_C,Yes,Prompt,Meta
13.4.4_C,Yes,Prompt,Meta
13.4.5_C,Yes,Prompt,Meta
14.1.1_A,Yes,Prompt,Switch
14.1.2_A,Yes,Prompt,Switch
14.1.3_A,Yes,Prompt,Switch
14.1.4_A,Yes,Prompt,Switch
14.1.5_A,Yes,Prompt,Switch
14.1.1_B,Yes,Prompt,Switch
14.1.2_B,Yes,Prompt,Switch
14.1.3_B,Yes,Prompt,Switch
14.1.4_B,Yes,Prompt,Switch
14.1.5_B,Yes,Prompt,Switch
14.1.1_C,Yes,Prompt,Switch
14.1.2_C,Yes,Prompt,Switch
14.1.3_C,Yes,Prompt,Switch
14.1.4_C,Yes,Prompt,Switch
14.1.5_C,Yes,Prompt,Switch
14.2.1_A,Yes,Prompt,Switch
14.2.2_A,Yes,Prompt,Switch
14.2.3_A,Yes,Prompt,Switch
